id;name;city
1;1.FC BELA POD BEZ;???
2;AKADÉMIA ŠERMU BRATISLAVA;Bratislava
3;AUT;???
4;BA MPC;???
5;BOHEMIANS;???
6;BOHEP;???
7;BŠK MARTINENGO;???
8;DIF STOCKHOLM;???
9;DYNAMO UŽHOROD;???
10;EKONOM PRAHA;Praha
11;FC LEIPZIG;???
12;JISKRA H.BROD;???
13;JPN;???
14;KŠ SNINA;???
15;LAŠSSKFZ;???
16;OREL HR.KR.;???
17;PIAST GLIWICZ;???
18;POL;???
19;RADEBEUL;???
20;RIEGEL PRAHA;Praha
21;SC PRAHA;Praha
22;SČ USTI NAD LABEM;???
23;SILNI BEOGRAD;???
24;SLAVOJ Č.TĚŠÍN;???
25;SOKOL BRNO I;Brno
26;SOKOL DEJVICE;Praha
27;SOKOL PÍSEK;Písek
28;SOKOL PLZEŇ;Plzeň
29;SPORTOVNÍ ŠERM TÁBOR;Tábor
30;SPORTOVNÍ ŠERM ZLÍN;Zlín
31;SS UH.HRADISTE;Uherské hradiště
32;ŠERM LIBEREC;???
33;ŠERM MASTERS;???
34;ŠERM TABOR;Tábor
35;ŠERM ZLIN;Zlín
36;TBILISI;???
37;TJ DUKLA OLOMOUC;Olomouc
38;TJ DUKLA PRAHA;Praha
39;TJ LOKO K.VARY;???
40;TJ LOKO PLZEN;???
41;TJ LOKO TEPLICE;???
42;TJ SLAVOJ LITOMĚŘICE;???
43;TJ SLOVAN HORKY;???
44;UKRAJINA;???
45;USK PRAHA;Praha
46;USV DRESDEN;???
47;VENEZUELA;???
48;VSK ČVUT;???
49;VSK HUMANITA;Praha
50;VUT BRNO;Brno
51;WARSZAWIANKA;???
